#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037340.1	213100	319246	0.28	0.42	1612	1	1
NC_037340.1	319246	333992	0.42	0.43	115	0	1
NC_037340.1	333992	431109	0.43	0.56	170	1	1
NC_037340.1	431109	440586	0.56	0.57	230	0	1
NC_037340.1	440586	472866	0.57	0.61	420	1	1
NC_037340.1	472866	485338	0.61	0.63	255	0	1
NC_037340.1	485338	1473930	0.63	1.92	7300	1	1
NC_037340.1	1473930	1488921	1.92	1.94	95	1	0
NC_037340.1	1488921	1704566	1.94	2.22	1920	1	1
NC_037340.1	1704566	1720738	2.22	2.24	175	1	0
NC_037340.1	1720738	2350750	2.24	3.06	5985	1	1
NC_037340.1	2350750	2359179	3.06	3.07	110	0	1
NC_037340.1	2359179	3052479	3.07	3.97	7015	1	1
NC_037340.1	3052479	3075386	3.97	4.00	275	0	1
NC_037340.1	3075386	3284992	4.00	4.27	1605	1	1
NC_037340.1	3284992	3303052	4.27	4.29	245	0	1
NC_037340.1	3303052	3495254	4.29	4.54	1950	1	1
NC_037340.1	3495254	3502960	4.54	4.55	120	0	1
NC_037340.1	3502960	4010622	4.55	5.21	5220	1	1
NC_037340.1	4010622	4017266	5.21	5.22	110	1	0
NC_037340.1	4017266	4743294	5.22	6.17	6950	1	1
NC_037340.1	4743294	4781432	6.17	6.22	375	1	0
NC_037340.1	4781432	5312801	6.22	6.91	5490	1	1
NC_037340.1	5312801	5330468	6.91	6.93	215	0	1
NC_037340.1	5330468	5742778	6.93	7.47	4725	1	1
NC_037340.1	5742778	5771898	7.47	7.50	295	0	1
NC_037340.1	5771898	6344062	7.50	8.25	5605	1	1
NC_037340.1	6344062	6403059	8.25	8.32	625	1	0
NC_037340.1	6403059	6406230	8.32	8.33	50	1	1
NC_037340.1	6406230	6423867	8.33	8.35	185	0	1
NC_037340.1	6423867	6564568	8.35	8.53	1580	1	1
NC_037340.1	6564568	6575687	8.53	8.55	85	0	1
NC_037340.1	6575687	6680994	8.55	8.69	940	1	1
NC_037340.1	6680994	6692939	8.69	8.70	100	1	0
NC_037340.1	6692939	7254908	8.70	9.43	5905	1	1
NC_037340.1	7254908	7261693	9.43	9.44	125	1	0
NC_037340.1	7261693	8029836	9.44	10.44	6325	1	1
NC_037340.1	8029836	8069679	10.44	10.49	305	0	1
NC_037340.1	8069679	8695927	10.49	11.30	6590	1	1
NC_037340.1	8695927	8715150	11.30	11.33	285	0	1
NC_037340.1	8715150	9185988	11.33	11.94	5145	1	1
NC_037340.1	9185988	9198174	11.94	11.96	150	1	0
NC_037340.1	9198174	9257654	11.96	12.03	905	1	1
NC_037340.1	9257654	9280921	12.03	12.07	280	1	0
NC_037340.1	9280921	9542904	12.07	12.41	3065	1	1
NC_037340.1	9542904	9554606	12.41	12.42	165	1	0
NC_037340.1	9554606	10691002	12.42	13.90	14135	1	1
NC_037340.1	10691002	10694090	13.90	13.90	110	1	0
NC_037340.1	10694090	10772400	13.90	14.00	975	1	1
NC_037340.1	10772400	10779997	14.00	14.01	135	1	0
NC_037340.1	10779997	11018600	14.01	14.32	1315	1	1
NC_037340.1	11018600	11063217	14.32	14.38	110	0	1
NC_037340.1	11063217	11065140	14.38	14.38	25	1	1
NC_037340.1	11065140	11110401	14.38	14.44	110	1	0
NC_037340.1	11110401	11841888	14.44	15.39	7430	1	1
NC_037340.1	11841888	11851884	15.39	15.41	115	0	1
NC_037340.1	11851884	11929791	15.41	15.51	905	1	1
NC_037340.1	11929791	11936287	15.51	15.52	100	0	1
NC_037340.1	11936287	12255718	15.52	15.93	3545	1	1
NC_037340.1	12255718	12295068	15.93	15.98	280	1	0
NC_037340.1	12295068	12731816	15.98	16.55	4265	1	1
NC_037340.1	12731816	12754854	16.55	16.58	225	1	0
NC_037340.1	12754854	13250242	16.58	17.23	5975	1	1
NC_037340.1	13250242	13266107	17.23	17.25	190	1	0
NC_037340.1	13266107	13554584	17.25	17.62	2975	1	1
NC_037340.1	13554584	13561149	17.62	17.63	90	1	0
NC_037340.1	13561149	14878521	17.63	19.34	12165	1	1
NC_037340.1	14878521	14895480	19.34	19.36	210	0	1
NC_037340.1	14895480	16176286	19.36	21.03	11690	1	1
NC_037340.1	16176286	16191212	21.03	21.05	215	1	0
NC_037340.1	16191212	16290571	21.05	21.18	1300	1	1
NC_037340.1	16290571	16295805	21.18	21.18	100	0	1
NC_037340.1	16295805	16538010	21.18	21.50	2355	1	1
NC_037340.1	16538010	16548355	21.50	21.51	170	0	1
NC_037340.1	16548355	17373561	21.51	22.59	9735	1	1
NC_037340.1	17373561	17386883	22.59	22.60	155	0	1
NC_037340.1	17386883	17410707	22.60	22.63	335	1	1
NC_037340.1	17410707	17419471	22.63	22.65	140	0	1
NC_037340.1	17419471	17868920	22.65	23.23	4895	1	1
NC_037340.1	17868920	17904986	23.23	23.28	210	1	0
NC_037340.1	17904986	18362651	23.28	23.87	4715	1	1
NC_037340.1	18362651	18384662	23.87	23.90	240	1	0
NC_037340.1	18384662	18513163	23.90	24.07	1480	1	1
NC_037340.1	18513163	18534360	24.07	24.09	195	0	1
NC_037340.1	18534360	18748019	24.09	24.37	2550	1	1
NC_037340.1	18748019	18759145	24.37	24.39	135	0	1
NC_037340.1	18759145	19494173	24.39	25.34	7930	1	1
NC_037340.1	19494173	19517421	25.34	25.37	170	0	1
NC_037340.1	19517421	20040355	25.37	26.05	5255	1	1
NC_037340.1	20040355	20058518	26.05	26.08	90	1	0
NC_037340.1	20058518	20203510	26.08	26.26	1515	1	1
NC_037340.1	20203510	20215576	26.26	26.28	110	0	1
NC_037340.1	20215576	20301820	26.28	26.39	540	1	1
NC_037340.1	20301820	20324689	26.39	26.42	215	1	0
NC_037340.1	20324689	20956827	26.42	27.24	6930	1	1
NC_037340.1	20956827	20962700	27.24	27.25	95	1	0
NC_037340.1	20962700	21207873	27.25	27.57	2825	1	1
NC_037340.1	21207873	21228508	27.57	27.60	195	1	0
NC_037340.1	21228508	21680237	27.60	28.18	5000	1	1
NC_037340.1	21680237	21690258	28.18	28.20	130	0	1
NC_037340.1	21690258	21803934	28.20	28.35	1445	1	1
NC_037340.1	21803934	21817376	28.35	28.36	105	0	1
NC_037340.1	21817376	22424058	28.36	29.15	6380	1	1
NC_037340.1	22424058	22437904	29.15	29.17	115	0	1
NC_037340.1	22437904	22490282	29.17	29.24	440	1	1
NC_037340.1	22490282	22507832	29.24	29.26	130	0	1
NC_037340.1	22507832	27278095	29.26	35.46	40775	1	1
NC_037340.1	27278095	27317401	35.46	35.51	365	0	1
NC_037340.1	27317401	27447819	35.51	35.68	1015	1	1
NC_037340.1	27447819	27465112	35.68	35.70	155	1	0
NC_037340.1	27465112	27465444	35.70	35.71	5	1	1
NC_037340.1	27465444	27485316	35.71	35.73	185	0	1
NC_037340.1	27485316	28075638	35.73	36.50	5115	1	1
NC_037340.1	28075638	28085994	36.50	36.51	130	0	1
NC_037340.1	28085994	28088333	36.51	36.51	60	1	1
NC_037340.1	28088333	28104697	36.51	36.54	140	1	0
NC_037340.1	28104697	29105084	36.54	37.84	10750	1	1
NC_037340.1	29105084	29151243	37.84	37.90	385	0	1
NC_037340.1	29151243	29354186	37.90	38.16	2265	1	1
NC_037340.1	29354186	29375528	38.16	38.19	135	0	1
NC_037340.1	29375528	30646053	38.19	39.84	11695	1	1
NC_037340.1	30646053	30659186	39.84	39.86	165	1	0
NC_037340.1	30659186	30968218	39.86	40.26	2760	1	1
NC_037340.1	30968218	30992722	40.26	40.29	145	1	0
NC_037340.1	30992722	31291189	40.29	40.68	3510	1	1
NC_037340.1	31291189	31307491	40.68	40.70	165	1	0
NC_037340.1	31307491	32382491	40.70	42.10	9430	1	1
NC_037340.1	32382491	32393981	42.10	42.11	130	1	0
NC_037340.1	32393981	32538660	42.11	42.30	1605	1	1
NC_037340.1	32538660	32561907	42.30	42.33	170	0	1
NC_037340.1	32561907	33076715	42.33	43.00	5000	1	1
NC_037340.1	33076715	33094900	43.00	43.02	175	1	0
NC_037340.1	33094900	33333532	43.02	43.33	1855	1	1
NC_037340.1	33333532	33361827	43.33	43.37	215	1	0
NC_037340.1	33361827	33366473	43.37	43.38	60	1	1
NC_037340.1	33366473	33387632	43.38	43.40	180	0	1
NC_037340.1	33387632	33423461	43.40	43.45	330	1	1
NC_037340.1	33423461	33439230	43.45	43.47	135	0	1
NC_037340.1	33439230	33517700	43.47	43.57	595	1	1
NC_037340.1	33517700	33544920	43.57	43.61	255	1	0
NC_037340.1	33544920	33562600	43.61	43.63	235	1	1
NC_037340.1	33562600	33588501	43.63	43.67	395	1	0
NC_037340.1	33588501	33688893	43.67	43.80	1035	1	1
NC_037340.1	33688893	33715188	43.80	43.83	255	1	0
NC_037340.1	33715188	34986025	43.83	45.48	11240	1	1
NC_037340.1	34986025	35004346	45.48	45.51	225	1	0
NC_037340.1	35004346	35161255	45.51	45.71	1755	1	1
NC_037340.1	35161255	35176339	45.71	45.73	185	0	1
NC_037340.1	35176339	37069012	45.73	48.19	18730	1	1
NC_037340.1	37069012	37088138	48.19	48.21	200	1	0
NC_037340.1	37088138	37161081	48.21	48.31	850	1	1
