#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037330.1	4212	127521	0.01	0.17	1807	1	1
NC_037330.1	127521	140677	0.17	0.18	230	1	0
NC_037330.1	140677	1136262	0.18	1.48	8370	1	1
NC_037330.1	1136262	1155903	1.48	1.50	245	0	1
NC_037330.1	1155903	1599683	1.50	2.08	3965	1	1
NC_037330.1	1599683	1610035	2.08	2.09	160	1	0
NC_037330.1	1610035	2950344	2.09	3.84	13000	1	1
NC_037330.1	2950344	2962121	3.84	3.85	225	1	0
NC_037330.1	2962121	8624929	3.85	11.21	58895	1	1
NC_037330.1	8624929	8655176	11.21	11.25	1035	0	1
NC_037330.1	8655176	10322173	11.25	13.42	15695	1	1
NC_037330.1	10322173	10362921	13.42	13.47	315	0	1
NC_037330.1	10362921	10841674	13.47	14.09	4550	1	1
NC_037330.1	10841674	10856899	14.09	14.11	200	0	1
NC_037330.1	10856899	11251429	14.11	14.63	4160	1	1
NC_037330.1	11251429	11282903	14.63	14.67	235	1	0
NC_037330.1	11282903	11974922	14.67	15.57	5740	1	1
NC_037330.1	11974922	11995095	15.57	15.59	135	0	1
NC_037330.1	11995095	12041552	15.59	15.65	210	1	1
NC_037330.1	12041552	12072389	15.65	15.69	155	0	1
NC_037330.1	12072389	13041224	15.69	16.95	7930	1	1
NC_037330.1	13041224	13062493	16.95	16.98	380	1	0
NC_037330.1	13062493	13192928	16.98	17.15	1265	1	1
NC_037330.1	13192928	13236667	17.15	17.21	615	1	0
NC_037330.1	13236667	13596752	17.21	17.68	6230	1	1
NC_037330.1	13596752	13636060	17.68	17.73	455	0	1
NC_037330.1	13636060	17152418	17.73	22.30	33590	1	1
NC_037330.1	17152418	17181881	22.30	22.34	515	0	1
NC_037330.1	17181881	17189265	22.34	22.35	95	1	1
NC_037330.1	17189265	17213754	22.35	22.38	140	1	0
NC_037330.1	17213754	18403089	22.38	23.92	13395	1	1
NC_037330.1	18403089	18431818	23.92	23.96	235	0	1
NC_037330.1	18431818	18581485	23.96	24.16	1640	1	1
NC_037330.1	18581485	18602605	24.16	24.18	305	0	1
NC_037330.1	18602605	21577385	24.18	28.05	25300	1	1
NC_037330.1	21577385	21613383	28.05	28.10	275	0	1
NC_037330.1	21613383	26003640	28.10	33.80	41215	1	1
NC_037330.1	26003640	26029943	33.80	33.84	455	0	1
NC_037330.1	26029943	26943862	33.84	35.03	11270	1	1
NC_037330.1	26943862	26965050	35.03	35.05	260	0	1
NC_037330.1	26965050	28525160	35.05	37.08	15885	1	1
NC_037330.1	28525160	28567161	37.08	37.14	210	0	1
NC_037330.1	28567161	31961114	37.14	41.55	32835	1	1
NC_037330.1	31961114	31977096	41.55	41.57	175	0	1
NC_037330.1	31977096	32127637	41.57	41.77	1730	1	1
NC_037330.1	32127637	32134111	41.77	41.77	125	1	0
NC_037330.1	32134111	32996844	41.77	42.90	7870	1	1
NC_037330.1	32996844	33017839	42.90	42.92	300	1	0
NC_037330.1	33017839	36337852	42.92	47.24	32130	1	1
NC_037330.1	36337852	36355093	47.24	47.26	180	1	0
NC_037330.1	36355093	37064727	47.26	48.18	6410	1	1
NC_037330.1	37064727	37142621	48.18	48.29	540	0	1
NC_037330.1	37142621	41162614	48.29	53.51	30345	1	1
NC_037330.1	41162614	41176458	53.51	53.53	250	1	0
NC_037330.1	41176458	42591375	53.53	55.37	13075	1	1
NC_037330.1	42591375	42613493	55.37	55.40	270	1	0
NC_037330.1	42613493	43474431	55.40	56.52	8395	1	1
NC_037330.1	43474431	43508063	56.52	56.56	335	0	1
NC_037330.1	43508063	45596821	56.56	59.28	20385	1	1
NC_037330.1	45596821	45621456	59.28	59.31	150	0	1
NC_037330.1	45621456	46520690	59.31	60.48	8525	1	1
NC_037330.1	46520690	46533938	60.48	60.49	185	1	0
NC_037330.1	46533938	48081318	60.49	62.51	13700	1	1
NC_037330.1	48081318	48103009	62.51	62.53	210	1	0
NC_037330.1	48103009	53954583	62.53	70.14	53960	1	1
NC_037330.1	53954583	54034874	70.14	70.25	815	0	1
NC_037330.1	54034874	54042121	70.25	70.25	110	0	0
NC_037330.1	54042121	54086195	70.25	70.31	395	0	1
NC_037330.1	54086195	54255547	70.31	70.53	1180	1	1
NC_037330.1	54255547	54356149	70.53	70.66	230	1	0
NC_037330.1	54356149	54399909	70.66	70.72	175	0	0
NC_037330.1	54399909	54558823	70.72	70.93	690	0	1
NC_037330.1	54558823	54585252	70.93	70.96	320	1	1
NC_037330.1	54585252	54609137	70.96	70.99	220	0	1
NC_037330.1	54609137	54616072	70.99	71.00	80	1	1
NC_037330.1	54616072	54656955	71.00	71.05	455	1	0
NC_037330.1	54656955	54672115	71.05	71.07	215	0	1
NC_037330.1	54672115	54713739	71.07	71.13	235	0	0
NC_037330.1	54713739	54724703	71.13	71.14	115	0	1
NC_037330.1	54724703	54758477	71.14	71.19	145	0	0
NC_037330.1	54758477	54876929	71.19	71.34	535	1	0
NC_037330.1	54876929	54978341	71.34	71.47	840	1	1
NC_037330.1	54978341	55000265	71.47	71.50	220	0	1
NC_037330.1	55000265	57547118	71.50	74.81	22685	1	1
NC_037330.1	57547118	57561898	74.81	74.83	165	1	0
NC_037330.1	57561898	58795633	74.83	76.43	11920	1	1
NC_037330.1	58795633	58847666	76.43	76.50	465	0	1
NC_037330.1	58847666	60495123	76.50	78.64	16515	1	1
NC_037330.1	60495123	60537442	78.64	78.70	605	1	0
NC_037330.1	60537442	61143541	78.70	79.49	6300	1	1
NC_037330.1	61143541	61159672	79.49	79.51	180	0	1
NC_037330.1	61159672	66295195	79.51	86.18	45125	1	1
NC_037330.1	66295195	66365253	86.18	86.27	785	0	1
NC_037330.1	66365253	66570436	86.27	86.54	2270	1	1
NC_037330.1	66570436	66577264	86.54	86.55	120	1	0
NC_037330.1	66577264	67980048	86.55	88.37	12870	1	1
NC_037330.1	67980048	67995805	88.37	88.39	230	0	1
NC_037330.1	67995805	68282685	88.39	88.77	3325	1	1
NC_037330.1	68282685	68294935	88.77	88.78	175	1	0
NC_037330.1	68294935	68357191	88.78	88.86	620	1	1
NC_037330.1	68357191	68398428	88.86	88.92	315	0	1
NC_037330.1	68398428	68419706	88.92	88.95	235	1	1
NC_037330.1	68419706	68438240	88.95	88.97	240	0	1
NC_037330.1	68438240	70062063	88.97	91.08	14790	1	1
NC_037330.1	70062063	70089075	91.08	91.12	310	1	0
NC_037330.1	70089075	70714293	91.12	91.93	5260	1	1
NC_037330.1	70714293	70765334	91.93	91.99	360	0	1
NC_037330.1	70765334	73519380	91.99	95.58	24255	1	1
NC_037330.1	73519380	73547364	95.58	95.61	230	0	1
NC_037330.1	73547364	73760050	95.61	95.89	2240	1	1
NC_037330.1	73760050	73803688	95.89	95.94	465	1	0
NC_037330.1	73803688	73955612	95.94	96.14	1280	1	1
NC_037330.1	73955612	73994421	96.14	96.19	320	1	0
NC_037330.1	73994421	76707597	96.19	99.72	24345	1	1
NC_037330.1	76707597	76746654	99.72	99.77	330	1	0
NC_037330.1	76746654	80983920	99.77	105.28	40470	1	1
NC_037330.1	80983920	81102333	105.28	105.43	1100	1	0
NC_037330.1	81102333	83400940	105.43	108.42	22280	1	1
NC_037330.1	83400940	83448486	108.42	108.48	490	1	0
NC_037330.1	83448486	83453943	108.48	108.49	105	1	1
NC_037330.1	83453943	83468563	108.49	108.51	105	0	1
NC_037330.1	83468563	85963325	108.51	111.75	24980	1	1
NC_037330.1	85963325	85979712	111.75	111.77	240	1	0
NC_037330.1	85979712	85985073	111.77	111.78	80	1	1
NC_037330.1	85985073	85993718	111.78	111.79	150	0	1
NC_037330.1	85993718	88496782	111.79	115.05	28740	1	1
NC_037330.1	88496782	88514124	115.05	115.07	170	0	1
NC_037330.1	88514124	89381290	115.07	116.20	11355	1	1
NC_037330.1	89381290	89398485	116.20	116.22	275	1	0
NC_037330.1	89398485	89706223	116.22	116.62	3055	1	1
NC_037330.1	89706223	89722900	116.62	116.64	160	0	1
NC_037330.1	89722900	91067445	116.64	118.39	14740	1	1
NC_037330.1	91067445	91078333	118.39	118.40	120	1	0
NC_037330.1	91078333	92443460	118.40	120.18	16395	1	1
NC_037330.1	92443460	92475438	120.18	120.22	245	1	0
NC_037330.1	92475438	93710666	120.22	121.82	13020	1	1
NC_037330.1	93710666	93751009	121.82	121.88	370	0	1
NC_037330.1	93751009	97500979	121.88	126.75	28095	1	1
NC_037330.1	97500979	97518331	126.75	126.77	250	0	1
NC_037330.1	97518331	97989756	126.77	127.39	5370	1	1
NC_037330.1	97989756	97995318	127.39	127.39	160	0	1
NC_037330.1	97995318	98105265	127.39	127.54	1340	1	1
NC_037330.1	98105265	98118455	127.54	127.55	215	0	1
NC_037330.1	98118455	99140102	127.55	128.88	12280	1	1
NC_037330.1	99140102	99197832	128.88	128.96	130	0	1
NC_037330.1	99197832	99210110	128.96	128.97	235	1	1
NC_037330.1	99210110	99225278	128.97	128.99	145	1	0
NC_037330.1	99225278	103023273	128.99	133.93	36735	1	1
NC_037330.1	103023273	103038415	133.93	133.95	235	0	1
NC_037330.1	103038415	107673068	133.95	139.98	49785	1	1
NC_037330.1	107673068	107700931	139.98	140.01	270	1	0
NC_037330.1	107700931	108758150	140.01	141.39	13200	1	1
NC_037330.1	108758150	108763189	141.39	141.39	150	0	1
NC_037330.1	108763189	109008461	141.39	141.71	4010	1	1
NC_037330.1	109008461	109039125	141.71	141.75	580	0	1
NC_037330.1	109039125	111626169	141.75	145.11	29835	1	1
NC_037330.1	111626169	111650882	145.11	145.15	455	0	1
NC_037330.1	111650882	112151133	145.15	145.80	8560	1	1
NC_037330.1	112151133	112158480	145.80	145.81	155	0	1
NC_037330.1	112158480	114203862	145.81	148.46	28145	1	1
NC_037330.1	114203862	114213720	148.46	148.48	230	1	0
NC_037330.1	114213720	120065815	148.48	156.09	91535	1	1
NC_037330.1	120065815	120072854	156.09	156.10	130	0	1
NC_037330.1	120072854	120556453	156.10	156.72	7975	1	1
NC_037330.1	120556453	120572770	156.72	156.74	165	1	0
NC_037330.1	120572770	120997569	156.74	157.30	5902	1	1
