#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037349.1	8955	63776	0.01	0.08	252	1	1
NC_037349.1	63776	93543	0.08	0.12	60	1	0
NC_037349.1	93543	589566	0.12	0.77	3300	1	1
NC_037349.1	589566	629653	0.77	0.82	100	1	0
NC_037349.1	629653	1941873	0.82	2.52	11985	1	1
NC_037349.1	1941873	1960937	2.52	2.55	170	1	0
NC_037349.1	1960937	2426434	2.55	3.15	4695	1	1
NC_037349.1	2426434	2437646	3.15	3.17	120	0	1
NC_037349.1	2437646	2778473	3.17	3.61	3235	1	1
NC_037349.1	2778473	2789955	3.61	3.63	120	1	0
NC_037349.1	2789955	2804482	3.63	3.65	170	1	1
NC_037349.1	2804482	2862159	3.65	3.72	270	0	1
NC_037349.1	2862159	3332190	3.72	4.33	5245	1	1
NC_037349.1	3332190	3350516	4.33	4.36	115	1	0
NC_037349.1	3350516	3795667	4.36	4.93	3470	1	1
NC_037349.1	3795667	3816424	4.93	4.96	105	1	0
NC_037349.1	3816424	4381437	4.96	5.70	5775	1	1
NC_037349.1	4381437	4407220	5.70	5.73	285	0	1
NC_037349.1	4407220	4574386	5.73	5.95	1870	1	1
NC_037349.1	4574386	4583022	5.95	5.96	150	1	0
NC_037349.1	4583022	5155398	5.96	6.70	6115	1	1
NC_037349.1	5155398	5165742	6.70	6.72	90	0	1
NC_037349.1	5165742	5503156	6.72	7.15	4335	1	1
NC_037349.1	5503156	5508381	7.15	7.16	90	0	1
NC_037349.1	5508381	5735723	7.16	7.46	2830	1	1
NC_037349.1	5735723	5744548	7.46	7.47	145	0	1
NC_037349.1	5744548	6545365	7.47	8.51	9195	1	1
NC_037349.1	6545365	6563364	8.51	8.53	195	1	0
NC_037349.1	6563364	6826358	8.53	8.87	3510	1	1
NC_037349.1	6826358	6833355	8.87	8.88	95	0	1
NC_037349.1	6833355	7228874	8.88	9.40	4150	1	1
NC_037349.1	7228874	7241354	9.40	9.41	180	1	0
NC_037349.1	7241354	7479413	9.41	9.72	2525	1	1
NC_037349.1	7479413	7486056	9.72	9.73	175	1	0
NC_037349.1	7486056	7950733	9.73	10.34	3955	1	1
NC_037349.1	7950733	7980407	10.34	10.37	280	0	1
NC_037349.1	7980407	8136814	10.37	10.58	1500	1	1
NC_037349.1	8136814	8177274	10.58	10.63	245	0	1
NC_037349.1	8177274	8424232	10.63	10.95	3085	1	1
NC_037349.1	8424232	8436806	10.95	10.97	145	0	1
NC_037349.1	8436806	8536747	10.97	11.10	1560	1	1
NC_037349.1	8536747	8547007	11.10	11.11	100	1	0
NC_037349.1	8547007	8592736	11.11	11.17	385	1	1
NC_037349.1	8592736	8600561	11.17	11.18	150	0	1
NC_037349.1	8600561	8844485	11.18	11.50	2615	1	1
NC_037349.1	8844485	8860514	11.50	11.52	105	0	1
NC_037349.1	8860514	8905176	11.52	11.58	610	1	1
NC_037349.1	8905176	8924729	11.58	11.60	135	1	0
NC_037349.1	8924729	8963832	11.60	11.65	510	1	1
NC_037349.1	8963832	8982203	11.65	11.68	290	0	1
NC_037349.1	8982203	9842081	11.68	12.79	9840	1	1
NC_037349.1	9842081	9856942	12.79	12.81	205	0	1
NC_037349.1	9856942	11204707	12.81	14.57	13755	1	1
NC_037349.1	11204707	11228220	14.57	14.60	290	0	1
NC_037349.1	11228220	12018255	14.60	15.62	9205	1	1
NC_037349.1	12018255	12037399	15.62	15.65	300	1	0
NC_037349.1	12037399	12636391	15.65	16.43	6680	1	1
NC_037349.1	12636391	12645656	16.43	16.44	145	1	0
NC_037349.1	12645656	13075193	16.44	17.00	5785	1	1
NC_037349.1	13075193	13087019	17.00	17.01	185	0	1
NC_037349.1	13087019	14973736	17.01	19.47	21785	1	1
NC_037349.1	14973736	14982287	19.47	19.48	195	1	0
NC_037349.1	14982287	15106160	19.48	19.64	1445	1	1
NC_037349.1	15106160	15120258	19.64	19.66	215	0	1
NC_037349.1	15120258	15157466	19.66	19.70	615	1	1
NC_037349.1	15157466	15167808	19.70	19.72	110	1	0
NC_037349.1	15167808	15585628	19.72	20.26	3260	1	1
NC_037349.1	15585628	15616943	20.26	20.30	305	1	0
NC_037349.1	15616943	16078372	20.30	20.90	4845	1	1
NC_037349.1	16078372	16111041	20.90	20.94	295	0	1
NC_037349.1	16111041	16163237	20.94	21.01	595	1	1
NC_037349.1	16163237	16181583	21.01	21.04	195	1	0
NC_037349.1	16181583	16589366	21.04	21.57	4575	1	1
NC_037349.1	16589366	16609628	21.57	21.59	140	0	1
NC_037349.1	16609628	18127402	21.59	23.57	15535	1	1
NC_037349.1	18127402	18136413	23.57	23.58	165	0	1
NC_037349.1	18136413	18215522	23.58	23.68	1235	1	1
NC_037349.1	18215522	18222003	23.68	23.69	115	0	1
NC_037349.1	18222003	18467604	23.69	24.01	3460	1	1
NC_037349.1	18467604	18481751	24.01	24.03	280	1	0
NC_037349.1	18481751	18580394	24.03	24.15	1330	1	1
NC_037349.1	18580394	18585920	24.15	24.16	95	0	1
NC_037349.1	18585920	18888019	24.16	24.55	4260	1	1
NC_037349.1	18888019	18908412	24.55	24.58	245	0	1
NC_037349.1	18908412	18917436	24.58	24.59	115	1	1
NC_037349.1	18917436	18923494	24.59	24.60	105	1	0
NC_037349.1	18923494	19107322	24.60	24.84	2465	1	1
NC_037349.1	19107322	19118145	24.84	24.85	135	0	1
NC_037349.1	19118145	19305018	24.85	25.10	2380	1	1
NC_037349.1	19305018	19334508	25.10	25.13	425	0	1
NC_037349.1	19334508	21046099	25.13	27.36	17645	1	1
NC_037349.1	21046099	21058708	27.36	27.38	185	1	0
NC_037349.1	21058708	21224405	27.38	27.59	2175	1	1
NC_037349.1	21224405	21237371	27.59	27.61	135	0	1
NC_037349.1	21237371	21684295	27.61	28.19	4405	1	1
NC_037349.1	21684295	21692165	28.19	28.20	115	0	1
NC_037349.1	21692165	22218351	28.20	28.88	4995	1	1
NC_037349.1	22218351	22233575	28.88	28.90	100	0	1
NC_037349.1	22233575	23471154	28.90	30.51	13140	1	1
NC_037349.1	23471154	23517899	30.51	30.57	640	1	0
NC_037349.1	23517899	24305185	30.57	31.60	8750	1	1
NC_037349.1	24305185	24329689	31.60	31.63	380	0	1
NC_037349.1	24329689	25241497	31.63	32.81	8915	1	1
NC_037349.1	25241497	25251547	32.81	32.83	115	1	0
NC_037349.1	25251547	25518328	32.83	33.17	2775	1	1
NC_037349.1	25518328	25546581	33.17	33.21	260	1	0
NC_037349.1	25546581	25591118	33.21	33.27	505	1	1
NC_037349.1	25591118	25621070	33.27	33.31	225	1	0
NC_037349.1	25621070	27409871	33.31	35.63	18525	1	1
