#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037334.1	70636	394519	0.09	0.51	567	1	1
NC_037334.1	394519	408057	0.51	0.53	190	1	0
NC_037334.1	408057	419088	0.53	0.54	100	1	1
NC_037334.1	419088	442908	0.54	0.58	165	0	1
NC_037334.1	442908	446817	0.58	0.58	35	1	1
NC_037334.1	446817	501771	0.58	0.65	575	1	0
NC_037334.1	501771	2475202	0.65	3.22	20745	1	1
NC_037334.1	2475202	2487408	3.22	3.23	195	1	0
NC_037334.1	2487408	4922279	3.23	6.40	28565	1	1
NC_037334.1	4922279	4961418	6.40	6.45	175	0	1
NC_037334.1	4961418	6599445	6.45	8.58	18985	1	1
NC_037334.1	6599445	6613720	8.58	8.60	345	1	0
NC_037334.1	6613720	6824211	8.60	8.87	2615	1	1
NC_037334.1	6824211	6852720	8.87	8.91	375	1	0
NC_037334.1	6852720	7081368	8.91	9.21	2985	1	1
NC_037334.1	7081368	7092578	9.21	9.22	150	1	0
NC_037334.1	7092578	7147968	9.22	9.29	535	1	1
NC_037334.1	7147968	7178520	9.29	9.33	350	1	0
NC_037334.1	7178520	7275801	9.33	9.46	1185	1	1
NC_037334.1	7275801	7296274	9.46	9.49	390	0	1
NC_037334.1	7296274	8008530	9.49	10.41	6070	1	1
NC_037334.1	8008530	8023140	10.41	10.43	170	1	0
NC_037334.1	8023140	8063552	10.43	10.48	460	1	1
NC_037334.1	8063552	8079204	10.48	10.50	175	0	1
NC_037334.1	8079204	8240386	10.50	10.71	1690	1	1
NC_037334.1	8240386	8242836	10.71	10.72	95	0	1
NC_037334.1	8242836	8466963	10.72	11.01	2565	1	1
NC_037334.1	8466963	8480798	11.01	11.02	220	0	1
NC_037334.1	8480798	8508225	11.02	11.06	315	1	1
NC_037334.1	8508225	8533702	11.06	11.09	115	0	1
NC_037334.1	8533702	8561145	11.09	11.13	395	1	1
NC_037334.1	8561145	8578923	11.13	11.15	330	1	0
NC_037334.1	8578923	8592271	11.15	11.17	170	1	1
NC_037334.1	8592271	8602513	11.17	11.18	120	1	0
NC_037334.1	8602513	8786473	11.18	11.42	1630	1	1
NC_037334.1	8786473	8838655	11.42	11.49	100	1	0
NC_037334.1	8838655	8906547	11.49	11.58	230	1	1
NC_037334.1	8906547	8922458	11.58	11.60	135	0	1
NC_037334.1	8922458	8939052	11.60	11.62	185	1	1
NC_037334.1	8939052	8969862	11.62	11.66	275	1	0
NC_037334.1	8969862	9002185	11.66	11.70	615	1	1
NC_037334.1	9002185	9050522	11.70	11.77	275	0	1
NC_037334.1	9050522	9051388	11.77	11.77	25	1	1
NC_037334.1	9051388	9074701	11.77	11.80	170	1	0
NC_037334.1	9074701	10071870	11.80	13.09	10780	1	1
NC_037334.1	10071870	10075947	13.09	13.10	80	1	0
NC_037334.1	10075947	10106941	13.10	13.14	955	1	1
NC_037334.1	10106941	10126669	13.14	13.16	150	1	0
NC_037334.1	10126669	10300855	13.16	13.39	3605	1	1
NC_037334.1	10300855	10310080	13.39	13.40	100	0	1
NC_037334.1	10310080	10519814	13.40	13.68	3020	1	1
NC_037334.1	10519814	10575314	13.68	13.75	85	0	1
NC_037334.1	10575314	10767367	13.75	14.00	2565	1	1
NC_037334.1	10767367	10795669	14.00	14.03	230	1	0
NC_037334.1	10795669	10903658	14.03	14.17	1140	1	1
NC_037334.1	10903658	10907410	14.17	14.18	115	0	1
NC_037334.1	10907410	11000951	14.18	14.30	915	1	1
NC_037334.1	11000951	11025839	14.30	14.33	110	1	0
NC_037334.1	11025839	11368483	14.33	14.78	3370	1	1
NC_037334.1	11368483	11377982	14.78	14.79	115	0	1
NC_037334.1	11377982	13120905	14.79	17.06	15410	1	1
NC_037334.1	13120905	13127743	17.06	17.07	120	0	1
NC_037334.1	13127743	13231422	17.07	17.20	860	1	1
NC_037334.1	13231422	13256861	17.20	17.23	255	1	0
NC_037334.1	13256861	13459316	17.23	17.50	2975	1	1
NC_037334.1	13459316	13466478	17.50	17.51	90	1	0
NC_037334.1	13466478	13497065	17.51	17.55	345	1	1
NC_037334.1	13497065	13508781	17.55	17.56	135	1	0
NC_037334.1	13508781	13694468	17.56	17.80	1980	1	1
NC_037334.1	13694468	13715546	17.80	17.83	210	1	0
NC_037334.1	13715546	13721517	17.83	17.84	165	1	1
NC_037334.1	13721517	13737613	17.84	17.86	250	0	1
NC_037334.1	13737613	13787329	17.86	17.92	645	1	1
NC_037334.1	13787329	13804485	17.92	17.95	205	0	1
NC_037334.1	13804485	13877734	17.95	18.04	580	1	1
NC_037334.1	13877734	13903074	18.04	18.07	375	0	1
NC_037334.1	13903074	13998116	18.07	18.20	1650	1	1
NC_037334.1	13998116	14005558	18.20	18.21	195	0	1
NC_037334.1	14005558	14372141	18.21	18.68	4170	1	1
NC_037334.1	14372141	14418646	18.68	18.74	470	0	1
NC_037334.1	14418646	16029265	18.74	20.84	15725	1	1
NC_037334.1	16029265	16034571	20.84	20.84	120	0	1
NC_037334.1	16034571	16040395	20.84	20.85	60	1	1
NC_037334.1	16040395	16080096	20.85	20.90	365	1	0
NC_037334.1	16080096	16948595	20.90	22.03	8270	1	1
NC_037334.1	16948595	16962060	22.03	22.05	210	1	0
NC_037334.1	16962060	17449665	22.05	22.68	4160	1	1
NC_037334.1	17449665	17475774	22.68	22.72	210	1	0
NC_037334.1	17475774	17596092	22.72	22.87	1155	1	1
NC_037334.1	17596092	17601648	22.87	22.88	165	1	0
NC_037334.1	17601648	17794669	22.88	23.13	1365	1	1
NC_037334.1	17794669	17819578	23.13	23.17	165	1	0
NC_037334.1	17819578	19493306	23.17	25.34	15885	1	1
NC_037334.1	19493306	19505031	25.34	25.36	165	0	1
NC_037334.1	19505031	19511208	25.36	25.36	50	1	1
NC_037334.1	19511208	19528767	25.36	25.39	110	1	0
NC_037334.1	19528767	19596090	25.39	25.47	685	1	1
NC_037334.1	19596090	19617768	25.47	25.50	235	1	0
NC_037334.1	19617768	20150979	25.50	26.20	4790	1	1
NC_037334.1	20150979	20165493	26.20	26.22	220	1	0
NC_037334.1	20165493	21996392	26.22	28.60	16590	1	1
NC_037334.1	21996392	22009462	28.60	28.61	125	0	1
NC_037334.1	22009462	22232408	28.61	28.90	2570	1	1
NC_037334.1	22232408	22255416	28.90	28.93	135	1	0
NC_037334.1	22255416	22380192	28.93	29.09	755	1	1
NC_037334.1	22380192	22397716	29.09	29.12	250	1	0
NC_037334.1	22397716	22516975	29.12	29.27	1515	1	1
NC_037334.1	22516975	22547492	29.27	29.31	315	1	0
NC_037334.1	22547492	22828475	29.31	29.68	1700	1	1
NC_037334.1	22828475	22855012	29.68	29.71	135	1	0
NC_037334.1	22855012	23130447	29.71	30.07	1840	1	1
NC_037334.1	23130447	23157444	30.07	30.10	190	0	1
NC_037334.1	23157444	23486520	30.10	30.53	4050	1	1
NC_037334.1	23486520	23530225	30.53	30.59	300	1	0
NC_037334.1	23530225	23588335	30.59	30.66	750	1	1
NC_037334.1	23588335	23606319	30.66	30.69	110	1	0
NC_037334.1	23606319	23765168	30.69	30.89	1610	1	1
NC_037334.1	23765168	23792604	30.89	30.93	225	0	1
NC_037334.1	23792604	23885692	30.93	31.05	1085	1	1
NC_037334.1	23885692	23895574	31.05	31.06	215	1	0
NC_037334.1	23895574	25017976	31.06	32.52	13005	1	1
NC_037334.1	25017976	25043723	32.52	32.56	325	0	1
NC_037334.1	25043723	25433065	32.56	33.06	3945	1	1
NC_037334.1	25433065	25448123	33.06	33.08	150	1	0
NC_037334.1	25448123	26480147	33.08	34.42	11550	1	1
NC_037334.1	26480147	26490252	34.42	34.44	170	1	0
NC_037334.1	26490252	26641587	34.44	34.63	2060	1	1
NC_037334.1	26641587	26655092	34.63	34.65	210	0	1
NC_037334.1	26655092	28355847	34.65	36.86	18765	1	1
NC_037334.1	28355847	28379047	36.86	36.89	250	0	1
NC_037334.1	28379047	29214646	36.89	37.98	8330	1	1
NC_037334.1	29214646	29221547	37.98	37.99	145	1	0
NC_037334.1	29221547	29739172	37.99	38.66	6365	1	1
NC_037334.1	29739172	29763510	38.66	38.69	260	0	1
NC_037334.1	29763510	31054971	38.69	40.37	12435	1	1
NC_037334.1	31054971	31066526	40.37	40.39	95	1	0
NC_037334.1	31066526	31853824	40.39	41.41	7840	1	1
NC_037334.1	31853824	31865266	41.41	41.42	115	1	0
NC_037334.1	31865266	31922188	41.42	41.50	330	1	1
NC_037334.1	31922188	31954035	41.50	41.54	310	1	0
NC_037334.1	31954035	32198066	41.54	41.86	2240	1	1
NC_037334.1	32198066	32225194	41.86	41.89	325	0	1
NC_037334.1	32225194	32610791	41.89	42.39	4250	1	1
NC_037334.1	32610791	32654642	42.39	42.45	470	1	0
NC_037334.1	32654642	33006700	42.45	42.91	3185	1	1
NC_037334.1	33006700	33061503	42.91	42.98	605	0	1
NC_037334.1	33061503	33224552	42.98	43.19	2275	1	1
NC_037334.1	33224552	33254575	43.19	43.23	385	0	1
NC_037334.1	33254575	33527309	43.23	43.59	2665	1	1
NC_037334.1	33527309	33543118	43.59	43.61	155	1	0
NC_037334.1	33543118	34325362	43.61	44.62	8060	1	1
NC_037334.1	34325362	34335633	44.62	44.64	130	1	0
NC_037334.1	34335633	34823740	44.64	45.27	4490	1	1
NC_037334.1	34823740	34859926	45.27	45.32	305	0	1
NC_037334.1	34859926	35217491	45.32	45.78	3865	1	1
NC_037334.1	35217491	35227390	45.78	45.80	165	0	1
NC_037334.1	35227390	35260382	45.80	45.84	465	1	1
NC_037334.1	35260382	35280278	45.84	45.86	315	1	0
NC_037334.1	35280278	35341314	45.86	45.94	535	1	1
NC_037334.1	35341314	35365259	45.94	45.97	170	1	0
NC_037334.1	35365259	35464205	45.97	46.10	1155	1	1
NC_037334.1	35464205	35471065	46.10	46.11	130	1	0
NC_037334.1	35471065	35625228	46.11	46.31	1775	1	1
NC_037334.1	35625228	35634273	46.31	46.32	110	0	1
NC_037334.1	35634273	36315870	46.32	47.21	6945	1	1
NC_037334.1	36315870	36334546	47.21	47.23	195	0	1
NC_037334.1	36334546	36344737	47.23	47.25	140	1	1
NC_037334.1	36344737	36385175	47.25	47.30	355	0	1
NC_037334.1	36385175	37180858	47.30	48.34	8715	1	1
NC_037334.1	37180858	37192256	48.34	48.35	190	1	0
NC_037334.1	37192256	37384800	48.35	48.60	2050	1	1
NC_037334.1	37384800	37398841	48.60	48.62	155	0	1
NC_037334.1	37398841	37801464	48.62	49.14	4770	1	1
NC_037334.1	37801464	37813238	49.14	49.16	175	0	1
