#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037336.1	5985	24487	0.01	0.03	522	1	1
NC_037336.1	24487	29503	0.03	0.04	165	0	1
NC_037336.1	29503	201381	0.04	0.26	840	1	1
NC_037336.1	201381	207782	0.26	0.27	125	1	0
NC_037336.1	207782	622614	0.27	0.81	1995	1	1
NC_037336.1	622614	678316	0.81	0.88	255	1	0
NC_037336.1	678316	1539019	0.88	2.00	5080	1	1
NC_037336.1	1539019	1569006	2.00	2.04	305	0	1
NC_037336.1	1569006	2927722	2.04	3.81	10225	1	1
NC_037336.1	2927722	2961523	3.81	3.85	245	0	1
NC_037336.1	2961523	3385274	3.85	4.40	3435	1	1
NC_037336.1	3385274	3400747	4.40	4.42	130	0	1
NC_037336.1	3400747	4480112	4.42	5.82	8365	1	1
NC_037336.1	4480112	4486706	5.82	5.83	160	1	0
NC_037336.1	4486706	4537034	5.83	5.90	365	1	1
NC_037336.1	4537034	4562680	5.90	5.93	180	0	1
NC_037336.1	4562680	4761267	5.93	6.19	2245	1	1
NC_037336.1	4761267	4787044	6.19	6.22	190	0	1
NC_037336.1	4787044	5149657	6.22	6.69	3250	1	1
NC_037336.1	5149657	5166110	6.69	6.72	165	1	0
NC_037336.1	5166110	6209947	6.72	8.07	8100	1	1
NC_037336.1	6209947	6218488	8.07	8.08	125	1	0
NC_037336.1	6218488	6301003	8.08	8.19	660	1	1
NC_037336.1	6301003	6340162	8.19	8.24	325	0	1
NC_037336.1	6340162	6411301	8.24	8.33	505	1	1
NC_037336.1	6411301	6436876	8.33	8.37	185	0	1
NC_037336.1	6436876	8465858	8.37	11.01	17190	1	1
NC_037336.1	8465858	8497235	11.01	11.05	205	0	1
NC_037336.1	8497235	8696666	11.05	11.31	1775	1	1
NC_037336.1	8696666	8710709	11.31	11.32	145	1	0
NC_037336.1	8710709	9126677	11.32	11.86	4135	1	1
NC_037336.1	9126677	9142157	11.86	11.88	310	0	1
NC_037336.1	9142157	9974917	11.88	12.97	8155	1	1
NC_037336.1	9974917	10010614	12.97	13.01	175	1	0
NC_037336.1	10010614	10166441	13.01	13.22	1790	1	1
NC_037336.1	10166441	10194618	13.22	13.25	350	1	0
NC_037336.1	10194618	11939487	13.25	15.52	20240	1	1
NC_037336.1	11939487	11951093	15.52	15.54	135	1	0
NC_037336.1	11951093	12600481	15.54	16.38	6630	1	1
NC_037336.1	12600481	12618210	16.38	16.40	220	0	1
NC_037336.1	12618210	12731944	16.40	16.55	1325	1	1
NC_037336.1	12731944	12747996	16.55	16.57	135	0	1
NC_037336.1	12747996	12775628	16.57	16.61	240	1	1
NC_037336.1	12775628	12814824	16.61	16.66	510	1	0
NC_037336.1	12814824	12841635	16.66	16.69	360	1	1
NC_037336.1	12841635	12848456	16.69	16.70	175	1	0
NC_037336.1	12848456	13699763	16.70	17.81	8235	1	1
NC_037336.1	13699763	13722014	17.81	17.84	170	0	1
NC_037336.1	13722014	14270959	17.84	18.55	5055	1	1
NC_037336.1	14270959	14275859	18.55	18.56	130	0	1
NC_037336.1	14275859	14285666	18.56	18.57	220	1	1
NC_037336.1	14285666	14308387	18.57	18.60	120	0	1
NC_037336.1	14308387	14382148	18.60	18.70	690	1	1
NC_037336.1	14382148	14391573	18.70	18.71	150	0	1
NC_037336.1	14391573	14831402	18.71	19.28	4550	1	1
NC_037336.1	14831402	14842348	19.28	19.30	165	0	1
NC_037336.1	14842348	15877045	19.30	20.64	9910	1	1
NC_037336.1	15877045	15898407	20.64	20.67	270	0	1
NC_037336.1	15898407	16017135	20.67	20.82	1385	1	1
NC_037336.1	16017135	16037415	20.82	20.85	185	0	1
NC_037336.1	16037415	16591092	20.85	21.57	6705	1	1
NC_037336.1	16591092	16632104	21.57	21.62	235	1	0
NC_037336.1	16632104	16659939	21.62	21.66	345	1	1
NC_037336.1	16659939	16677165	21.66	21.68	85	1	0
NC_037336.1	16677165	16700965	21.68	21.71	105	1	1
NC_037336.1	16700965	16722284	21.71	21.74	210	1	0
NC_037336.1	16722284	17116616	21.74	22.25	4070	1	1
NC_037336.1	17116616	17134151	22.25	22.27	290	1	0
NC_037336.1	17134151	18707946	22.27	24.32	15735	1	1
NC_037336.1	18707946	18720010	24.32	24.34	95	1	0
NC_037336.1	18720010	20408641	24.34	26.53	16340	1	1
NC_037336.1	20408641	20435926	26.53	26.57	185	1	0
NC_037336.1	20435926	20850126	26.57	27.11	3335	1	1
NC_037336.1	20850126	20863873	27.11	27.12	135	0	1
NC_037336.1	20863873	20921106	27.12	27.20	450	1	1
NC_037336.1	20921106	20946117	27.20	27.23	235	1	0
NC_037336.1	20946117	21417959	27.23	27.84	3940	1	1
NC_037336.1	21417959	21434568	27.84	27.86	130	1	0
NC_037336.1	21434568	21946078	27.86	28.53	4625	1	1
NC_037336.1	21946078	21955388	28.53	28.54	95	1	0
NC_037336.1	21955388	22736706	28.54	29.56	7650	1	1
NC_037336.1	22736706	22750719	29.56	29.58	115	0	1
NC_037336.1	22750719	23201971	29.58	30.16	4705	1	1
NC_037336.1	23201971	23214902	30.16	30.18	105	0	1
NC_037336.1	23214902	23729415	30.18	30.85	5135	1	1
