#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037332.1	33367	540810	0.04	0.70	4882	1	1
NC_037332.1	540810	590775	0.70	0.77	230	0	1
NC_037332.1	590775	6328744	0.77	8.23	56375	1	1
NC_037332.1	6328744	6357789	8.23	8.27	305	1	0
NC_037332.1	6357789	23594592	8.27	30.67	173515	1	1
NC_037332.1	23594592	23631265	30.67	30.72	430	0	1
NC_037332.1	23631265	25248861	30.72	32.82	16900	1	1
NC_037332.1	25248861	25297319	32.82	32.89	290	0	1
NC_037332.1	25297319	27145037	32.89	35.29	16395	1	1
NC_037332.1	27145037	27159040	35.29	35.31	220	0	1
NC_037332.1	27159040	31836851	35.31	41.39	43150	1	1
NC_037332.1	31836851	31859461	41.39	41.42	150	1	0
NC_037332.1	31859461	42104468	41.42	54.74	99560	1	1
NC_037332.1	42104468	42123015	54.74	54.76	255	1	0
NC_037332.1	42123015	42231701	54.76	54.90	1175	1	1
NC_037332.1	42231701	42260344	54.90	54.94	140	0	1
NC_037332.1	42260344	45851860	54.94	59.61	35060	1	1
NC_037332.1	45851860	45869546	59.61	59.63	310	0	1
NC_037332.1	45869546	46658149	59.63	60.66	8910	1	1
NC_037332.1	46658149	46680418	60.66	60.68	230	0	1
NC_037332.1	46680418	50462199	60.68	65.60	38675	1	1
NC_037332.1	50462199	50505278	65.60	65.66	425	1	0
NC_037332.1	50505278	50567711	65.66	65.74	870	1	1
NC_037332.1	50567711	50590343	65.74	65.77	280	1	0
NC_037332.1	50590343	51579579	65.77	67.05	9505	1	1
NC_037332.1	51579579	51602154	67.05	67.08	390	1	0
NC_037332.1	51602154	57934032	67.08	75.31	56940	1	1
NC_037332.1	57934032	58009325	75.31	75.41	610	1	0
NC_037332.1	58009325	58127610	75.41	75.57	1320	1	1
NC_037332.1	58127610	58150575	75.57	75.60	450	1	0
NC_037332.1	58150575	58411570	75.60	75.93	2945	1	1
NC_037332.1	58411570	58423504	75.93	75.95	245	0	1
NC_037332.1	58423504	59724953	75.95	77.64	11870	1	1
NC_037332.1	59724953	59745733	77.64	77.67	180	1	0
NC_037332.1	59745733	70376685	77.67	91.49	101740	1	1
NC_037332.1	70376685	70410578	91.49	91.53	330	0	1
NC_037332.1	70410578	74257682	91.53	96.54	43330	1	1
NC_037332.1	74257682	74262351	96.54	96.54	195	1	0
NC_037332.1	74262351	78209570	96.54	101.67	39720	1	1
NC_037332.1	78209570	78225336	101.67	101.69	180	0	1
NC_037332.1	78225336	80132531	101.69	104.17	16425	1	1
NC_037332.1	80132531	80162106	104.17	104.21	325	0	1
NC_037332.1	80162106	81158128	104.21	105.51	8560	1	1
NC_037332.1	81158128	81180168	105.51	105.53	205	0	1
NC_037332.1	81180168	86416376	105.53	112.34	49755	1	1
NC_037332.1	86416376	86462887	112.34	112.40	310	1	0
NC_037332.1	86462887	88841184	112.40	115.49	22425	1	1
NC_037332.1	88841184	88871662	115.49	115.53	335	0	1
NC_037332.1	88871662	94684897	115.53	123.09	56065	1	1
NC_037332.1	94684897	94699782	123.09	123.11	185	0	1
NC_037332.1	94699782	97911594	123.11	127.29	33425	1	1
NC_037332.1	97911594	97937824	127.29	127.32	280	0	1
NC_037332.1	97937824	98353503	127.32	127.86	4765	1	1
NC_037332.1	98353503	98377649	127.86	127.89	355	1	0
NC_037332.1	98377649	98443095	127.89	127.98	1185	1	1
NC_037332.1	98443095	98445460	127.98	127.98	180	0	1
NC_037332.1	98445460	99548316	127.98	129.41	11760	1	1
NC_037332.1	99548316	99560750	129.41	129.43	295	1	0
NC_037332.1	99560750	100012645	129.43	130.02	5290	1	1
NC_037332.1	100012645	100063734	130.02	130.08	365	0	1
NC_037332.1	100063734	100175802	130.08	130.23	1530	1	1
NC_037332.1	100175802	100184540	130.23	130.24	200	1	0
NC_037332.1	100184540	100559750	130.24	130.73	2835	1	1
NC_037332.1	100559750	100631771	130.73	130.82	225	1	0
NC_037332.1	100631771	100903002	130.82	131.17	2310	1	1
NC_037332.1	100903002	100931885	131.17	131.21	305	1	0
NC_037332.1	100931885	106490161	131.21	138.44	67515	1	1
NC_037332.1	106490161	106502602	138.44	138.45	275	0	1
NC_037332.1	106502602	117712774	138.45	153.03	154090	1	1
NC_037332.1	117712774	117729197	153.03	153.05	365	0	1
NC_037332.1	117729197	117904759	153.05	153.28	3080	1	1
NC_037332.1	117904759	117920593	153.28	153.30	315	0	1
NC_037332.1	117920593	120081436	153.30	156.11	37514	1	1
