#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037353.1	17041	84673	0.02	0.11	1367	1	1
NC_037353.1	84673	98153	0.11	0.13	115	1	0
NC_037353.1	98153	321280	0.13	0.42	1760	1	1
NC_037353.1	321280	350159	0.42	0.46	115	1	0
NC_037353.1	350159	1046950	0.46	1.36	2775	1	1
NC_037353.1	1046950	1061636	1.36	1.38	140	0	1
NC_037353.1	1061636	1356976	1.38	1.76	2830	1	1
NC_037353.1	1356976	1372791	1.76	1.78	185	1	0
NC_037353.1	1372791	1874142	1.78	2.44	4290	1	1
NC_037353.1	1874142	1931915	2.44	2.51	380	1	0
NC_037353.1	1931915	3449565	2.51	4.48	12080	1	1
NC_037353.1	3449565	3471382	4.48	4.51	120	0	1
NC_037353.1	3471382	4839006	4.51	6.29	11695	1	1
NC_037353.1	4839006	4868727	6.29	6.33	275	1	0
NC_037353.1	4868727	5963555	6.33	7.75	10415	1	1
NC_037353.1	5963555	5999787	7.75	7.80	345	0	1
NC_037353.1	5999787	6056924	7.80	7.87	460	1	1
NC_037353.1	6056924	6075989	7.87	7.90	220	1	0
NC_037353.1	6075989	6255814	7.90	8.13	1770	1	1
NC_037353.1	6255814	6277127	8.13	8.16	340	0	1
NC_037353.1	6277127	6741629	8.16	8.76	4050	1	1
NC_037353.1	6741629	6767941	8.76	8.80	260	0	1
NC_037353.1	6767941	7560426	8.80	9.83	9380	1	1
NC_037353.1	7560426	7592072	9.83	9.87	405	0	1
NC_037353.1	7592072	9787725	9.87	12.72	24195	1	1
NC_037353.1	9787725	9795379	12.72	12.73	90	1	0
NC_037353.1	9795379	9796771	12.73	12.74	25	1	1
NC_037353.1	9796771	9807927	12.74	12.75	140	0	1
NC_037353.1	9807927	9912479	12.75	12.89	1100	1	1
NC_037353.1	9912479	9928422	12.89	12.91	165	0	1
NC_037353.1	9928422	10211147	12.91	13.27	2500	1	1
NC_037353.1	10211147	10228431	13.27	13.30	200	1	0
NC_037353.1	10228431	10779788	13.30	14.01	5470	1	1
NC_037353.1	10779788	10785968	14.01	14.02	125	1	0
NC_037353.1	10785968	11241844	14.02	14.61	4860	1	1
NC_037353.1	11241844	11269713	14.61	14.65	210	1	0
NC_037353.1	11269713	11354276	14.65	14.76	905	1	1
NC_037353.1	11354276	11381654	14.76	14.80	285	1	0
NC_037353.1	11381654	11496254	14.80	14.95	1165	1	1
NC_037353.1	11496254	11515105	14.95	14.97	215	1	0
NC_037353.1	11515105	11559722	14.97	15.03	550	1	1
NC_037353.1	11559722	11569037	15.03	15.04	90	1	0
NC_037353.1	11569037	12948063	15.04	16.83	14800	1	1
NC_037353.1	12948063	12958953	16.83	16.85	160	1	0
NC_037353.1	12958953	13136596	16.85	17.08	1955	1	1
NC_037353.1	13136596	13141656	17.08	17.08	175	1	0
NC_037353.1	13141656	16163330	17.08	21.01	25725	1	1
NC_037353.1	16163330	16175570	21.01	21.03	190	0	1
NC_037353.1	16175570	16266363	21.03	21.15	895	1	1
NC_037353.1	16266363	16282859	21.15	21.17	280	0	1
NC_037353.1	16282859	16401600	21.17	21.32	510	1	1
NC_037353.1	16401600	16412157	21.32	21.34	135	0	1
NC_037353.1	16412157	16651579	21.34	21.65	3200	1	1
NC_037353.1	16651579	16686926	21.65	21.69	295	0	1
NC_037353.1	16686926	17128162	21.69	22.27	5200	1	1
NC_037353.1	17128162	17152831	22.27	22.30	275	0	1
NC_037353.1	17152831	17174327	22.30	22.33	220	1	1
NC_037353.1	17174327	17183237	22.33	22.34	110	1	0
NC_037353.1	17183237	17696382	22.34	23.01	5255	1	1
NC_037353.1	17696382	17706232	23.01	23.02	170	1	0
