#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037351.1	3283	55108	0.00	0.07	562	1	1
NC_037351.1	55108	76703	0.07	0.10	70	1	0
NC_037351.1	76703	98842	0.10	0.13	340	1	1
NC_037351.1	98842	109203	0.13	0.14	90	0	1
NC_037351.1	109203	314037	0.14	0.41	2025	1	1
NC_037351.1	314037	323618	0.41	0.42	115	1	0
NC_037351.1	323618	1204993	0.42	1.57	9670	1	1
NC_037351.1	1204993	1214106	1.57	1.58	145	1	0
NC_037351.1	1214106	1373248	1.58	1.79	2385	1	1
NC_037351.1	1373248	1390267	1.79	1.81	270	1	0
NC_037351.1	1390267	2012646	1.81	2.62	7375	1	1
NC_037351.1	2012646	2020799	2.62	2.63	145	1	0
NC_037351.1	2020799	3067286	2.63	3.99	13000	1	1
NC_037351.1	3067286	3084325	3.99	4.01	135	0	1
NC_037351.1	3084325	4301774	4.01	5.59	14430	1	1
NC_037351.1	4301774	4320355	5.59	5.62	270	1	0
NC_037351.1	4320355	4430054	5.62	5.76	1345	1	1
NC_037351.1	4430054	4443994	5.76	5.78	225	1	0
NC_037351.1	4443994	4842640	5.78	6.30	4565	1	1
NC_037351.1	4842640	4866899	6.30	6.33	240	0	1
NC_037351.1	4866899	5129871	6.33	6.67	2970	1	1
NC_037351.1	5129871	5137562	6.67	6.68	95	0	1
NC_037351.1	5137562	5142729	6.68	6.69	80	1	1
NC_037351.1	5142729	5162161	6.69	6.71	160	1	0
NC_037351.1	5162161	6498826	6.71	8.45	15595	1	1
NC_037351.1	6498826	6529762	8.45	8.49	520	1	0
NC_037351.1	6529762	6571110	8.49	8.54	590	1	1
NC_037351.1	6571110	6587423	8.54	8.56	260	1	0
NC_037351.1	6587423	6700423	8.56	8.71	1595	1	1
NC_037351.1	6700423	6706203	8.71	8.72	105	1	0
NC_037351.1	6706203	6784963	8.72	8.82	1050	1	1
NC_037351.1	6784963	6791844	8.82	8.83	115	0	1
NC_037351.1	6791844	7276517	8.83	9.46	5415	1	1
NC_037351.1	7276517	7284116	9.46	9.47	100	1	0
NC_037351.1	7284116	7878018	9.47	10.24	6100	1	1
NC_037351.1	7878018	7899062	10.24	10.27	210	1	0
NC_037351.1	7899062	8134687	10.27	10.58	2285	1	1
NC_037351.1	8134687	8164033	10.58	10.61	220	1	0
NC_037351.1	8164033	8178542	10.61	10.63	160	1	1
NC_037351.1	8178542	8204883	10.63	10.67	295	0	1
NC_037351.1	8204883	8809945	10.67	11.45	6180	1	1
